code,2012-01-31,2012-02-29,2012-03-30,2012-04-27,2012-05-31,2012-06-29,2012-07-31,2012-08-31,2012-09-28,2012-10-31,2012-11-30,2012-12-31,2013-01-31,2013-02-28,2013-03-29,2013-04-26,2013-05-31,2013-06-28,2013-07-31,2013-08-30,2013-09-30,2013-10-31,2013-11-29,2013-12-31,2014-01-30,2014-02-28,2014-03-31,2014-04-30,2014-05-30,2014-06-30,2014-07-31,2014-08-29,2014-09-30,2014-10-31,2014-11-28,2014-12-31,2015-01-30,2015-02-27,2015-03-31,2015-04-30,2015-05-29,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-30,2015-11-30,2015-12-31,2016-01-29,2016-02-29,2016-03-31,2016-04-29,2016-05-31,2016-06-30,2016-07-29,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-30,2017-01-26,2017-02-28,2017-03-31,2017-04-28,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-29,2017-10-31,2017-11-30,2017-12-29,2018-01-31,2018-02-28,2018-03-30,2018-04-27,2018-05-31,2018-06-29,2018-07-31,2018-08-31,2018-09-28,2018-10-31,2018-11-30,2018-12-28,2019-01-31,2019-02-28,2019-03-29,2019-04-30,2019-05-31,2019-06-28,2019-07-31,2019-08-30,2019-09-30,2019-10-31,2019-11-29
002103.SZ,35.0,70.0,60.0,60.0,50.0,35.0,40.0,50.0,45.0,40.0,15.0,40.0,45.0,60.0,45.0,40.0,50.0,40.0,55.0,50.0,50.0,45.0,55.0,40.0,65.0,40.0,60.0,50.0,30.0,45.0,65.0,,,,,40.0,55.0,50.0,40.0,60.0,55.0,55.0,,50.0,,,,,,35.0,50.0,45.0,40.0,60.0,45.0,50.0,50.0,40.0,35.0,55.0,30.0,45.0,40.0,55.0,20.0,45.0,35.0,50.0,50.0,35.0,,,,,,,25.0,50.0,50.0,50.0,50.0,30.0,65.0,40.0,40.0,55.0,50.0,40.0,45.0,45.0,40.0,35.0,65.0,45.0,45.0
002104.SZ,50.0,55.0,55.0,60.0,55.0,50.0,55.0,55.0,60.0,55.0,15.0,65.0,50.0,60.0,40.0,50.0,75.0,65.0,55.0,40.0,55.0,55.0,60.0,,60.0,50.0,45.0,45.0,55.0,60.0,60.0,65.0,65.0,55.0,50.0,45.0,50.0,70.0,,,45.0,35.0,50.0,50.0,55.0,65.0,55.0,55.0,45.0,45.0,50.0,45.0,55.0,55.0,45.0,60.0,45.0,45.0,60.0,35.0,35.0,65.0,30.0,40.0,45.0,40.0,35.0,65.0,55.0,45.0,60.0,40.0,35.0,35.0,65.0,55.0,40.0,40.0,45.0,45.0,50.0,50.0,60.0,55.0,35.0,45.0,50.0,40.0,50.0,50.0,45.0,55.0,60.0,50.0,40.0
002105.SZ,50.0,60.0,55.0,60.0,50.0,35.0,40.0,55.0,55.0,50.0,50.0,55.0,50.0,70.0,45.0,40.0,65.0,40.0,45.0,50.0,40.0,45.0,70.0,,40.0,60.0,45.0,50.0,50.0,60.0,60.0,55.0,70.0,60.0,60.0,35.0,50.0,60.0,65.0,60.0,80.0,45.0,65.0,40.0,55.0,65.0,65.0,55.0,40.0,55.0,65.0,60.0,50.0,60.0,50.0,55.0,40.0,50.0,65.0,55.0,55.0,40.0,45.0,35.0,35.0,60.0,55.0,55.0,60.0,50.0,35.0,60.0,40.0,50.0,70.0,50.0,30.0,50.0,45.0,25.0,45.0,60.0,55.0,50.0,45.0,60.0,55.0,50.0,65.0,55.0,45.0,55.0,55.0,45.0,35.0
002106.SZ,50.0,55.0,40.0,45.0,55.0,50.0,35.0,55.0,45.0,50.0,30.0,55.0,55.0,40.0,60.0,35.0,55.0,35.0,45.0,40.0,50.0,40.0,45.0,35.0,50.0,50.0,40.0,35.0,50.0,70.0,60.0,65.0,60.0,50.0,65.0,45.0,50.0,55.0,65.0,,,,,,,,,50.0,40.0,55.0,50.0,50.0,60.0,45.0,45.0,60.0,50.0,55.0,30.0,45.0,60.0,60.0,50.0,40.0,40.0,45.0,55.0,50.0,40.0,45.0,55.0,50.0,40.0,45.0,55.0,50.0,45.0,25.0,60.0,60.0,45.0,45.0,50.0,50.0,55.0,55.0,65.0,25.0,50.0,35.0,50.0,60.0,55.0,45.0,55.0
002107.SZ,45.0,65.0,50.0,45.0,50.0,45.0,35.0,50.0,55.0,50.0,25.0,60.0,60.0,60.0,55.0,40.0,60.0,40.0,55.0,50.0,60.0,35.0,55.0,40.0,55.0,60.0,40.0,60.0,65.0,65.0,40.0,75.0,65.0,55.0,50.0,50.0,65.0,65.0,70.0,55.0,,35.0,30.0,45.0,50.0,55.0,45.0,50.0,40.0,40.0,55.0,55.0,45.0,55.0,55.0,50.0,55.0,50.0,65.0,60.0,45.0,55.0,65.0,35.0,30.0,60.0,45.0,60.0,50.0,50.0,25.0,50.0,35.0,40.0,60.0,45.0,45.0,35.0,50.0,45.0,45.0,40.0,65.0,45.0,45.0,55.0,60.0,35.0,45.0,50.0,45.0,55.0,35.0,55.0,50.0
002108.SZ,40.0,65.0,45.0,50.0,35.0,55.0,50.0,65.0,55.0,55.0,35.0,60.0,60.0,55.0,50.0,45.0,55.0,40.0,65.0,35.0,40.0,60.0,,,70.0,60.0,50.0,45.0,,65.0,65.0,40.0,55.0,40.0,50.0,45.0,60.0,70.0,65.0,50.0,60.0,60.0,60.0,55.0,50.0,55.0,55.0,45.0,55.0,60.0,55.0,50.0,60.0,60.0,45.0,40.0,40.0,65.0,40.0,40.0,45.0,60.0,55.0,60.0,45.0,50.0,65.0,50.0,45.0,40.0,45.0,55.0,40.0,50.0,50.0,45.0,35.0,35.0,45.0,45.0,40.0,40.0,55.0,40.0,30.0,45.0,65.0,55.0,45.0,30.0,30.0,40.0,45.0,45.0,40.0
002109.SZ,50.0,65.0,40.0,55.0,45.0,35.0,50.0,50.0,55.0,50.0,45.0,60.0,40.0,60.0,45.0,40.0,55.0,20.0,55.0,60.0,65.0,55.0,50.0,45.0,55.0,65.0,35.0,50.0,45.0,50.0,60.0,55.0,65.0,40.0,65.0,45.0,50.0,50.0,55.0,65.0,,,,,,,,,50.0,,55.0,65.0,,35.0,40.0,70.0,45.0,60.0,55.0,75.0,55.0,60.0,35.0,35.0,45.0,40.0,55.0,50.0,40.0,35.0,50.0,40.0,45.0,60.0,65.0,60.0,40.0,45.0,60.0,35.0,45.0,55.0,50.0,45.0,45.0,50.0,65.0,60.0,45.0,45.0,45.0,45.0,55.0,30.0,35.0
002110.SZ,55.0,65.0,30.0,40.0,40.0,20.0,50.0,35.0,50.0,60.0,35.0,55.0,65.0,45.0,55.0,45.0,65.0,45.0,40.0,50.0,50.0,55.0,65.0,45.0,25.0,60.0,35.0,50.0,45.0,50.0,55.0,35.0,70.0,60.0,50.0,50.0,50.0,70.0,65.0,,,,,,35.0,65.0,35.0,40.0,30.0,,40.0,,,30.0,55.0,45.0,40.0,40.0,50.0,55.0,50.0,60.0,55.0,40.0,40.0,50.0,,,,,,50.0,45.0,60.0,,40.0,50.0,60.0,75.0,50.0,55.0,55.0,25.0,50.0,65.0,60.0,50.0,55.0,35.0,45.0,35.0,45.0,45.0,35.0,70.0
002111.SZ,45.0,60.0,55.0,55.0,50.0,35.0,50.0,50.0,60.0,50.0,35.0,70.0,50.0,55.0,45.0,65.0,60.0,30.0,55.0,55.0,55.0,50.0,65.0,55.0,65.0,60.0,,,45.0,70.0,55.0,50.0,70.0,55.0,40.0,35.0,50.0,65.0,65.0,75.0,55.0,40.0,,,,60.0,60.0,55.0,50.0,45.0,55.0,55.0,65.0,45.0,65.0,55.0,35.0,45.0,35.0,35.0,45.0,45.0,35.0,40.0,40.0,75.0,55.0,65.0,45.0,50.0,35.0,35.0,50.0,45.0,45.0,50.0,50.0,30.0,50.0,50.0,50.0,45.0,45.0,35.0,45.0,50.0,60.0,50.0,50.0,50.0,50.0,55.0,55.0,45.0,35.0
002112.SZ,40.0,,,,45.0,35.0,50.0,50.0,60.0,40.0,35.0,75.0,50.0,55.0,45.0,55.0,65.0,35.0,65.0,45.0,50.0,70.0,60.0,60.0,55.0,60.0,45.0,45.0,70.0,55.0,,50.0,60.0,50.0,55.0,40.0,45.0,50.0,60.0,55.0,65.0,,,,,,,,,,,,,40.0,30.0,50.0,45.0,45.0,40.0,45.0,40.0,45.0,30.0,35.0,45.0,50.0,45.0,65.0,35.0,35.0,35.0,,,,40.0,40.0,45.0,35.0,50.0,50.0,60.0,50.0,45.0,45.0,40.0,,55.0,45.0,60.0,45.0,60.0,60.0,60.0,65.0,40.0
002114.SZ,50.0,55.0,40.0,35.0,45.0,50.0,25.0,45.0,60.0,75.0,,,,55.0,55.0,45.0,40.0,35.0,40.0,45.0,45.0,45.0,50.0,35.0,45.0,45.0,,,,50.0,60.0,50.0,55.0,45.0,45.0,45.0,50.0,55.0,,,,,55.0,45.0,55.0,65.0,55.0,40.0,55.0,65.0,65.0,50.0,45.0,60.0,50.0,40.0,40.0,45.0,40.0,45.0,50.0,65.0,35.0,25.0,45.0,50.0,50.0,45.0,45.0,30.0,35.0,25.0,45.0,45.0,45.0,35.0,40.0,20.0,65.0,40.0,50.0,35.0,65.0,30.0,35.0,55.0,55.0,50.0,55.0,35.0,45.0,60.0,55.0,40.0,40.0
002115.SZ,40.0,55.0,50.0,40.0,45.0,45.0,40.0,60.0,55.0,55.0,35.0,60.0,45.0,50.0,50.0,50.0,65.0,35.0,60.0,50.0,65.0,35.0,60.0,40.0,60.0,45.0,55.0,50.0,55.0,45.0,55.0,50.0,80.0,60.0,50.0,55.0,40.0,60.0,60.0,40.0,55.0,50.0,,,55.0,70.0,45.0,60.0,40.0,55.0,50.0,50.0,55.0,60.0,50.0,55.0,50.0,,,45.0,,,,,,,50.0,55.0,45.0,50.0,45.0,50.0,45.0,45.0,45.0,45.0,55.0,45.0,55.0,60.0,65.0,40.0,60.0,55.0,30.0,60.0,40.0,40.0,45.0,45.0,40.0,50.0,55.0,40.0,50.0
002116.SZ,45.0,55.0,55.0,50.0,45.0,45.0,30.0,45.0,45.0,60.0,20.0,60.0,50.0,60.0,20.0,40.0,60.0,35.0,50.0,60.0,50.0,65.0,70.0,45.0,50.0,65.0,40.0,55.0,45.0,60.0,75.0,50.0,60.0,50.0,55.0,60.0,60.0,60.0,50.0,,,,,60.0,45.0,55.0,60.0,35.0,50.0,50.0,55.0,55.0,45.0,55.0,40.0,55.0,55.0,65.0,55.0,55.0,45.0,60.0,55.0,50.0,45.0,55.0,45.0,50.0,40.0,50.0,25.0,40.0,40.0,50.0,60.0,60.0,55.0,55.0,60.0,55.0,50.0,40.0,55.0,45.0,60.0,55.0,55.0,45.0,45.0,50.0,35.0,40.0,40.0,45.0,35.0
002117.SZ,55.0,,55.0,45.0,50.0,35.0,40.0,65.0,55.0,55.0,25.0,70.0,55.0,50.0,40.0,35.0,60.0,50.0,60.0,50.0,60.0,50.0,60.0,60.0,70.0,50.0,35.0,55.0,60.0,50.0,35.0,60.0,55.0,45.0,55.0,55.0,55.0,45.0,55.0,50.0,65.0,40.0,,35.0,45.0,70.0,55.0,50.0,45.0,50.0,60.0,50.0,50.0,60.0,55.0,55.0,35.0,45.0,50.0,45.0,40.0,70.0,60.0,40.0,50.0,50.0,20.0,35.0,40.0,35.0,30.0,40.0,35.0,30.0,50.0,40.0,55.0,35.0,60.0,55.0,35.0,35.0,50.0,45.0,30.0,60.0,65.0,40.0,40.0,35.0,40.0,40.0,60.0,55.0,45.0
002119.SZ,35.0,50.0,30.0,45.0,55.0,40.0,35.0,55.0,50.0,50.0,35.0,65.0,50.0,50.0,45.0,45.0,45.0,50.0,65.0,45.0,45.0,60.0,55.0,45.0,50.0,,,55.0,65.0,60.0,60.0,70.0,55.0,50.0,55.0,50.0,,,,,70.0,45.0,50.0,55.0,45.0,65.0,45.0,60.0,45.0,55.0,45.0,50.0,50.0,60.0,50.0,65.0,45.0,60.0,50.0,55.0,35.0,40.0,45.0,35.0,35.0,65.0,50.0,65.0,55.0,45.0,45.0,45.0,40.0,35.0,55.0,70.0,45.0,45.0,35.0,50.0,60.0,50.0,55.0,45.0,35.0,45.0,65.0,35.0,65.0,45.0,60.0,40.0,40.0,45.0,55.0
002120.SZ,50.0,70.0,40.0,50.0,45.0,55.0,40.0,50.0,45.0,60.0,25.0,80.0,50.0,40.0,35.0,30.0,60.0,25.0,50.0,50.0,60.0,55.0,70.0,50.0,55.0,65.0,50.0,45.0,55.0,60.0,60.0,80.0,55.0,55.0,50.0,35.0,65.0,60.0,70.0,60.0,60.0,45.0,35.0,50.0,55.0,75.0,65.0,40.0,45.0,55.0,65.0,45.0,,,,45.0,60.0,50.0,35.0,40.0,55.0,65.0,35.0,55.0,55.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002121.SZ,50.0,55.0,50.0,45.0,45.0,45.0,50.0,60.0,55.0,60.0,35.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002123.SZ,35.0,70.0,45.0,45.0,40.0,35.0,45.0,65.0,45.0,60.0,30.0,65.0,35.0,60.0,60.0,35.0,60.0,35.0,40.0,40.0,45.0,45.0,70.0,50.0,60.0,60.0,35.0,40.0,50.0,50.0,60.0,50.0,70.0,45.0,,,,,,55.0,60.0,,45.0,50.0,,45.0,55.0,60.0,40.0,45.0,55.0,45.0,30.0,50.0,30.0,55.0,40.0,50.0,40.0,50.0,40.0,55.0,40.0,40.0,30.0,40.0,40.0,50.0,45.0,55.0,,,50.0,45.0,60.0,45.0,40.0,40.0,50.0,40.0,,35.0,45.0,40.0,50.0,70.0,55.0,35.0,40.0,55.0,55.0,45.0,50.0,70.0,45.0
002124.SZ,,65.0,50.0,45.0,55.0,50.0,45.0,45.0,55.0,55.0,40.0,55.0,40.0,60.0,55.0,50.0,55.0,40.0,35.0,,,35.0,65.0,45.0,65.0,35.0,55.0,35.0,55.0,65.0,50.0,30.0,70.0,25.0,45.0,45.0,60.0,50.0,70.0,60.0,65.0,40.0,55.0,55.0,35.0,,40.0,55.0,45.0,55.0,50.0,45.0,40.0,55.0,50.0,55.0,50.0,65.0,30.0,45.0,40.0,50.0,45.0,35.0,25.0,55.0,40.0,55.0,60.0,60.0,35.0,45.0,60.0,45.0,35.0,25.0,45.0,15.0,40.0,60.0,70.0,60.0,,35.0,60.0,55.0,70.0,45.0,50.0,35.0,45.0,40.0,55.0,65.0,35.0
002125.SZ,50.0,60.0,40.0,45.0,65.0,50.0,25.0,50.0,60.0,,,55.0,60.0,55.0,55.0,55.0,65.0,20.0,55.0,65.0,60.0,45.0,,,,35.0,40.0,50.0,35.0,60.0,50.0,70.0,60.0,50.0,75.0,25.0,60.0,60.0,,,60.0,40.0,40.0,55.0,40.0,80.0,35.0,55.0,40.0,65.0,40.0,60.0,45.0,55.0,45.0,55.0,50.0,65.0,55.0,45.0,30.0,60.0,40.0,40.0,40.0,55.0,65.0,65.0,45.0,55.0,55.0,40.0,,55.0,50.0,50.0,45.0,30.0,50.0,40.0,55.0,55.0,60.0,35.0,65.0,60.0,55.0,40.0,45.0,35.0,40.0,45.0,45.0,25.0,45.0
002126.SZ,35.0,60.0,45.0,,,45.0,30.0,50.0,50.0,45.0,,60.0,60.0,60.0,40.0,55.0,65.0,40.0,65.0,50.0,50.0,80.0,45.0,65.0,60.0,55.0,40.0,50.0,60.0,50.0,65.0,,55.0,45.0,40.0,40.0,55.0,60.0,60.0,50.0,70.0,55.0,45.0,40.0,55.0,,,45.0,45.0,50.0,40.0,55.0,45.0,75.0,45.0,55.0,65.0,60.0,35.0,60.0,55.0,40.0,50.0,50.0,40.0,65.0,60.0,45.0,55.0,45.0,45.0,60.0,35.0,45.0,55.0,50.0,60.0,45.0,50.0,40.0,50.0,40.0,45.0,45.0,60.0,55.0,50.0,55.0,40.0,50.0,35.0,40.0,55.0,40.0,35.0
002127.SZ,55.0,70.0,35.0,40.0,45.0,45.0,40.0,50.0,50.0,45.0,30.0,55.0,45.0,40.0,50.0,50.0,55.0,20.0,,65.0,45.0,55.0,,,,,,,45.0,30.0,20.0,65.0,70.0,60.0,50.0,50.0,65.0,65.0,,,,,,,30.0,75.0,50.0,35.0,55.0,35.0,65.0,50.0,,,,,35.0,40.0,40.0,45.0,50.0,55.0,50.0,40.0,45.0,,50.0,60.0,40.0,50.0,25.0,45.0,50.0,55.0,50.0,50.0,45.0,45.0,60.0,45.0,30.0,60.0,40.0,45.0,65.0,45.0,50.0,45.0,35.0,40.0,40.0,40.0,45.0,35.0,45.0
002128.SZ,45.0,55.0,35.0,40.0,55.0,40.0,50.0,50.0,50.0,60.0,60.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002129.SZ,50.0,60.0,45.0,45.0,,30.0,,35.0,50.0,50.0,25.0,60.0,60.0,50.0,25.0,25.0,75.0,55.0,50.0,50.0,55.0,60.0,60.0,40.0,50.0,40.0,60.0,55.0,65.0,60.0,55.0,70.0,45.0,55.0,45.0,50.0,,50.0,70.0,40.0,55.0,40.0,45.0,40.0,45.0,60.0,65.0,45.0,45.0,45.0,55.0,,,,,,,,,,,,,,,,,,,,,55.0,35.0,25.0,60.0,,25.0,40.0,45.0,40.0,55.0,40.0,60.0,50.0,50.0,50.0,50.0,60.0,55.0,50.0,55.0,45.0,55.0,45.0,35.0
002130.SZ,50.0,65.0,45.0,35.0,45.0,45.0,35.0,,,60.0,45.0,60.0,60.0,50.0,45.0,45.0,50.0,40.0,55.0,50.0,55.0,60.0,65.0,50.0,50.0,60.0,55.0,60.0,55.0,55.0,55.0,55.0,50.0,45.0,45.0,50.0,60.0,65.0,55.0,70.0,45.0,35.0,,40.0,60.0,70.0,55.0,50.0,50.0,50.0,60.0,45.0,45.0,55.0,35.0,60.0,35.0,50.0,60.0,45.0,50.0,50.0,40.0,40.0,55.0,40.0,35.0,45.0,45.0,55.0,45.0,,25.0,,50.0,55.0,20.0,30.0,60.0,60.0,45.0,30.0,60.0,25.0,40.0,60.0,70.0,50.0,50.0,40.0,30.0,45.0,35.0,50.0,40.0
002131.SZ,45.0,55.0,25.0,55.0,55.0,40.0,45.0,40.0,45.0,45.0,35.0,55.0,45.0,50.0,40.0,45.0,55.0,45.0,45.0,45.0,65.0,,60.0,55.0,60.0,,,,,,55.0,40.0,55.0,,45.0,40.0,50.0,,,,70.0,55.0,,55.0,,,,,45.0,50.0,55.0,50.0,,45.0,70.0,45.0,45.0,30.0,50.0,55.0,45.0,65.0,40.0,35.0,50.0,35.0,30.0,45.0,20.0,40.0,35.0,15.0,45.0,55.0,45.0,25.0,30.0,25.0,40.0,35.0,25.0,30.0,35.0,30.0,35.0,65.0,50.0,40.0,45.0,35.0,30.0,50.0,50.0,50.0,60.0
002132.SZ,45.0,55.0,35.0,40.0,50.0,35.0,40.0,60.0,65.0,50.0,40.0,50.0,60.0,60.0,55.0,40.0,65.0,30.0,40.0,55.0,50.0,50.0,50.0,60.0,40.0,55.0,45.0,40.0,45.0,50.0,65.0,65.0,50.0,50.0,55.0,35.0,65.0,65.0,70.0,40.0,65.0,55.0,,45.0,55.0,70.0,70.0,50.0,50.0,45.0,55.0,50.0,50.0,50.0,55.0,60.0,60.0,70.0,55.0,,,,,25.0,35.0,50.0,55.0,25.0,30.0,45.0,35.0,35.0,30.0,40.0,35.0,40.0,30.0,30.0,45.0,40.0,45.0,40.0,45.0,30.0,45.0,50.0,50.0,55.0,55.0,25.0,40.0,35.0,45.0,45.0,30.0
002133.SZ,45.0,60.0,40.0,55.0,,40.0,40.0,40.0,50.0,60.0,25.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002134.SZ,45.0,60.0,55.0,45.0,45.0,35.0,30.0,60.0,45.0,60.0,30.0,65.0,60.0,55.0,55.0,35.0,65.0,35.0,60.0,55.0,65.0,55.0,70.0,50.0,50.0,50.0,50.0,50.0,55.0,40.0,35.0,40.0,60.0,50.0,50.0,30.0,70.0,65.0,65.0,60.0,65.0,45.0,60.0,50.0,50.0,75.0,50.0,70.0,40.0,45.0,65.0,45.0,,,,55.0,60.0,65.0,40.0,65.0,45.0,,,,,5.0,50.0,60.0,55.0,55.0,45.0,55.0,50.0,50.0,70.0,40.0,30.0,40.0,45.0,45.0,45.0,50.0,50.0,45.0,45.0,50.0,65.0,50.0,50.0,60.0,55.0,40.0,55.0,40.0,55.0
002135.SZ,45.0,65.0,55.0,40.0,50.0,40.0,45.0,35.0,50.0,45.0,10.0,45.0,60.0,60.0,45.0,45.0,70.0,25.0,55.0,35.0,45.0,50.0,45.0,45.0,45.0,45.0,55.0,55.0,45.0,50.0,45.0,50.0,65.0,55.0,60.0,,50.0,60.0,75.0,50.0,70.0,45.0,40.0,45.0,55.0,70.0,55.0,40.0,45.0,40.0,45.0,35.0,40.0,35.0,50.0,55.0,45.0,30.0,55.0,40.0,50.0,55.0,50.0,60.0,60.0,35.0,55.0,60.0,40.0,50.0,45.0,50.0,35.0,50.0,50.0,55.0,55.0,35.0,55.0,40.0,45.0,45.0,45.0,35.0,40.0,60.0,70.0,65.0,45.0,55.0,50.0,50.0,70.0,45.0,40.0
002136.SZ,45.0,70.0,40.0,45.0,50.0,40.0,35.0,50.0,55.0,45.0,40.0,60.0,65.0,60.0,40.0,50.0,65.0,35.0,65.0,60.0,45.0,50.0,60.0,60.0,45.0,50.0,45.0,40.0,50.0,60.0,50.0,40.0,75.0,40.0,45.0,45.0,55.0,65.0,50.0,45.0,70.0,25.0,65.0,60.0,50.0,65.0,55.0,60.0,55.0,60.0,65.0,50.0,40.0,55.0,60.0,65.0,50.0,65.0,45.0,50.0,60.0,65.0,35.0,50.0,55.0,80.0,60.0,40.0,50.0,55.0,55.0,50.0,45.0,50.0,60.0,45.0,30.0,45.0,60.0,30.0,50.0,45.0,55.0,40.0,45.0,55.0,55.0,40.0,50.0,45.0,45.0,50.0,35.0,35.0,35.0
002137.SZ,50.0,60.0,70.0,70.0,45.0,40.0,45.0,45.0,60.0,50.0,15.0,65.0,60.0,50.0,40.0,55.0,50.0,50.0,35.0,40.0,45.0,50.0,55.0,40.0,50.0,45.0,50.0,40.0,45.0,45.0,50.0,55.0,60.0,55.0,45.0,,35.0,55.0,,,,,,,,,,55.0,45.0,45.0,45.0,55.0,50.0,55.0,50.0,65.0,55.0,45.0,50.0,35.0,50.0,65.0,40.0,30.0,40.0,50.0,40.0,50.0,40.0,50.0,30.0,45.0,40.0,30.0,65.0,45.0,40.0,40.0,45.0,50.0,45.0,50.0,55.0,45.0,45.0,65.0,55.0,65.0,40.0,45.0,60.0,45.0,60.0,50.0,35.0
002138.SZ,40.0,55.0,30.0,45.0,45.0,40.0,40.0,40.0,55.0,60.0,30.0,60.0,55.0,55.0,50.0,45.0,50.0,60.0,40.0,40.0,50.0,55.0,75.0,50.0,60.0,55.0,40.0,65.0,50.0,65.0,55.0,65.0,50.0,50.0,50.0,40.0,55.0,60.0,60.0,45.0,60.0,45.0,45.0,55.0,55.0,65.0,55.0,55.0,45.0,50.0,60.0,50.0,45.0,55.0,35.0,45.0,60.0,45.0,40.0,60.0,45.0,50.0,55.0,55.0,40.0,60.0,35.0,45.0,55.0,45.0,45.0,50.0,30.0,45.0,50.0,45.0,55.0,35.0,35.0,35.0,40.0,20.0,60.0,50.0,70.0,55.0,55.0,45.0,25.0,55.0,65.0,50.0,50.0,50.0,60.0
002139.SZ,55.0,60.0,40.0,55.0,45.0,45.0,40.0,40.0,50.0,55.0,35.0,70.0,55.0,60.0,50.0,40.0,60.0,40.0,65.0,50.0,50.0,45.0,65.0,40.0,65.0,65.0,30.0,55.0,55.0,65.0,60.0,60.0,70.0,60.0,50.0,45.0,60.0,60.0,60.0,50.0,,55.0,45.0,50.0,60.0,55.0,75.0,45.0,40.0,55.0,60.0,45.0,55.0,55.0,45.0,40.0,45.0,50.0,55.0,55.0,40.0,65.0,45.0,50.0,45.0,60.0,55.0,55.0,50.0,60.0,50.0,60.0,30.0,50.0,60.0,45.0,40.0,50.0,45.0,45.0,50.0,35.0,55.0,35.0,55.0,45.0,45.0,60.0,50.0,40.0,50.0,55.0,45.0,40.0,45.0
002140.SZ,50.0,60.0,30.0,45.0,55.0,40.0,50.0,45.0,40.0,35.0,35.0,65.0,50.0,60.0,50.0,40.0,65.0,30.0,35.0,40.0,35.0,40.0,55.0,50.0,35.0,45.0,35.0,55.0,45.0,55.0,65.0,45.0,70.0,50.0,45.0,50.0,60.0,55.0,75.0,55.0,60.0,45.0,,,50.0,65.0,45.0,50.0,50.0,55.0,45.0,60.0,35.0,40.0,50.0,60.0,35.0,45.0,55.0,55.0,45.0,60.0,45.0,30.0,45.0,45.0,50.0,65.0,50.0,40.0,40.0,60.0,50.0,50.0,65.0,60.0,50.0,50.0,45.0,50.0,60.0,40.0,65.0,35.0,35.0,55.0,50.0,55.0,55.0,35.0,50.0,40.0,50.0,45.0,35.0
002141.SZ,60.0,55.0,45.0,55.0,45.0,40.0,35.0,50.0,60.0,65.0,40.0,50.0,60.0,60.0,45.0,40.0,65.0,50.0,55.0,60.0,55.0,60.0,50.0,55.0,70.0,60.0,,,20.0,65.0,60.0,45.0,75.0,45.0,45.0,55.0,55.0,60.0,60.0,60.0,55.0,50.0,55.0,50.0,55.0,70.0,55.0,50.0,50.0,55.0,55.0,35.0,35.0,65.0,40.0,60.0,55.0,65.0,55.0,40.0,45.0,35.0,40.0,25.0,,,,,,,60.0,45.0,30.0,65.0,45.0,50.0,35.0,35.0,40.0,35.0,45.0,45.0,60.0,55.0,40.0,65.0,50.0,50.0,45.0,45.0,50.0,30.0,50.0,45.0,50.0
002142.SZ,,55.0,45.0,55.0,50.0,45.0,55.0,40.0,40.0,50.0,40.0,70.0,40.0,35.0,25.0,35.0,55.0,25.0,45.0,60.0,45.0,60.0,50.0,45.0,40.0,55.0,45.0,50.0,55.0,55.0,60.0,40.0,65.0,70.0,50.0,60.0,35.0,45.0,60.0,55.0,60.0,55.0,40.0,60.0,35.0,60.0,60.0,40.0,40.0,45.0,50.0,55.0,40.0,55.0,45.0,55.0,40.0,70.0,50.0,45.0,50.0,45.0,55.0,45.0,45.0,65.0,40.0,45.0,45.0,50.0,40.0,55.0,50.0,40.0,40.0,40.0,45.0,55.0,60.0,45.0,55.0,60.0,40.0,40.0,70.0,65.0,50.0,55.0,45.0,45.0,30.0,35.0,60.0,50.0,40.0
002143.SZ,45.0,70.0,30.0,45.0,,35.0,40.0,35.0,50.0,55.0,25.0,70.0,65.0,60.0,50.0,45.0,50.0,25.0,55.0,55.0,60.0,,,,,,,55.0,45.0,50.0,70.0,65.0,40.0,45.0,45.0,45.0,60.0,55.0,65.0,55.0,55.0,,65.0,40.0,45.0,70.0,55.0,,35.0,45.0,60.0,50.0,45.0,45.0,45.0,50.0,55.0,55.0,60.0,60.0,45.0,45.0,40.0,,,,,,,,35.0,25.0,50.0,,,,,,20.0,20.0,45.0,35.0,45.0,25.0,35.0,55.0,55.0,30.0,20.0,30.0,40.0,25.0,,5.0,
